cellid,ApoE,Au,B7H3,CD133,CD14,CD163,CD31,CD3e,CD4,CD45,CD47,CD70,CD8a,EGFR,EGFRvIII,EphA2,FOXP3,Fe,GD2,GFAP,GM2_GD2,GPC2,H3K27M,H3K27me3,HER2,HLA1,HLADR,IDH1_R132H,IL13RA2,Ki67,NG2,NeuN,Noodle,Nuclear,Olig2,TMEM119,VISTA,YAP_TAZ,area,major_axis_length,minor_axis_length,perimeter,convex_area,equivalent_diameter,centroid.0,centroid.1,fov
565350,0.0267499953971839,2.39139195492393,0.255254443844707,0.469671902668666,0.0080782375287849,0.0027761745960921,0.0306146929339735,0.0597063819964836,0.0801775115155904,0.015595277672202,0.0260530433712212,0.221908172888942,0.0005444623423877,0.420670430382365,0.0113205117081133,0.01149386684455,0.0569619990083027,0.0065178912982606,1.07594573739589e-05,0.0681692091100806,0.0220843218536476,0.0520593653965318,0.0978448506778103,0.0184858206424087,0.0883962389181279,0.106945466463731,0.0147603293016116,0.0279457597642514,7.45321444252081e-05,0.0148147403726822,0.146763185842658,0.0475494729407719,0.0091600554031238,0.0185046175069976,0.0053300456564693,0.0383240853653396,0.251411123267278,8.70973688730022e-05,114,12.7293300596358,11.4683922502924,37.3137084989848,117,12.0477926650407,5.17543859649123,266.912280701754,Stanford_TA551_R10C4
565351,0.0248886845672799,72.3490482954546,0.089486196374916,0.0660816268592118,0.0077593840408443,0.0135906687914431,0.0451360144197827,0.0113674981976134,0.0068075481498817,0.0187209873632375,0.007299101840508,0.222685955689197,0.0002010283625684,0.0502118845607134,0.0179963900593463,0.0217082336476059,0.007210610409013,0.00214838959954,9.78653674775904e-05,0.322327479898779,0.0051641406958122,0.0512071338641215,0.178846866750795,0.0396587992844733,0.0424752861715695,0.0272180583401767,0.0049307307001836,0.0215163425754167,4.75173037160527e-05,0.0203218462493309,0.0590220255150955,0.0309007042022109,0.0160693394054066,0.0224489576166326,0.012440743098621,0.0117436866654296,0.0771116243465281,1.84743699025024e-05,275,23.0353199012202,15.374780918378,60.6274169979695,280,18.7120515925478,6.36727272727273,364.916363636364,Stanford_TA551_R10C4
565352,0.0113860056662995,6.25269935573388,0.0863987828262627,0.14305261579444,0.0064582403793562,0.0040511565851524,0.0867679904421618,0.0215948242668163,0.0141380431373173,0.0036977518822714,0.0019406421663336,0.0562782189688033,0.0079609617545582,0.0669873838169525,0.0029173206467359,0.0239091233987514,0.0198731333498747,0.0034355461867146,2.1975354725554e-05,0.061762162643154,0.0068175720684046,0.024503276098934,0.139216200176888,0.231851938497517,0.0238967900858894,0.0869326607979855,0.0154219158836932,0.0241943405643177,5.13424523747884e-05,0.0131026473407082,0.0672381878546341,0.040287115385681,0.0072271403144387,0.0756607918717742,0.0059716133481463,0.0229645636111881,0.108982434843298,1.75799156762491e-05,221,17.7741371668087,16.0685312033892,54.3847763108502,231,16.7745622710839,7.23076923076923,153.846153846154,Stanford_TA551_R10C4
565353,0.0283511295714229,4.17620814464371,0.146390653718154,0.379385425523046,0.0053357343912681,0.0150893546424552,0.110429951540296,0.0327290221724252,0.0654150187051663,0.0239965305036581,0.0091995231726168,0.139951577875878,0.0071526324600616,0.370163279662922,0.0113855103193137,0.0466817754604891,0.0463376955712041,0.0089521060291956,7.10411000846672e-05,0.0854769659041959,0.0201535193733203,0.085071870379439,0.081018375772786,0.161470082420171,0.0883292029991446,0.0949068377092278,0.0256801222556971,0.0422543205808926,5.13426587700615e-05,0.019987855716681,0.138040656450478,0.0716549672290261,0.0071571070035908,0.0434158456989076,0.0143063420399864,0.0740095159175463,0.0469127990417805,8.75460827676669e-06,521,27.4165480194705,25.6862078895247,88.5269119345812,540,25.7557333967996,10.5201535508637,220.500959692898,Stanford_TA551_R10C4
565354,0.0503855937872935,6.95314592633929,0.286699473200138,0.372691439273858,0.129836395389598,0.0064185603874299,0.0803660647183143,0.0881573278563081,0.0837145684860282,0.443059634086241,0.00918061654933,0.186338321886105,0.0,0.261530549999917,0.0040698642426914,0.0785447697275566,0.0231978598853506,0.019695842833746,3.02821885617006e-05,0.0293148208438897,0.020258022430497,0.0483366557767178,0.0257670841862516,0.316399574886786,0.0625068444849463,0.136421559411162,0.0429768445542597,0.0252512426673993,7.82211710299764e-05,0.0197216141040575,0.221714667309525,0.0494159939149081,0.0072174798874627,0.0159310477120535,0.0455251067712621,0.374432428284056,0.44829550788811,2.74309201077336e-06,105,13.1348131062175,10.2213615115599,35.8994949366117,108,11.5624457705622,7.6952380952381,484.580952380952,Stanford_TA551_R10C4
565355,0.0333177363180296,4.71549918147044,0.279334149119132,0.245211472884727,0.0204750287320456,0.0145612363627218,0.101865868868478,0.0477693609728742,0.0714545296136294,0.0410348745718192,0.0418865154234691,0.150292500399808,0.0,0.154288514995987,0.0242003801522979,0.0490196409624338,0.0761626308532679,0.021044685632856,2.72739612926339e-05,0.019008611743241,0.0292184916849667,0.0586936926807776,0.0695970040855909,0.475326258061976,0.0848451914950522,0.0380146394640024,0.0025613168347643,0.0417305895764573,3.48366348698921e-05,0.0083021442428466,0.215471836636454,0.101059072377626,0.0148360768789077,0.0476413307348227,0.0171434628886681,0.138351107548189,0.277434552280842,1.17649594746932e-05,241,20.4534185797211,15.0479219565053,56.0416305603426,249,17.5171553136111,8.96680497925311,678.946058091286,Stanford_TA551_R10C4
565356,0.0015354496729088,6.81802590110085,0.0574138230288412,0.103883690528302,0.0071196808603967,0.0019800058362794,0.0049831441421485,0.0097990091527762,3.09513142388322e-05,0.0130007212473446,0.0225715746915223,0.0212640492226355,0.0,0.0371612172899575,0.0028286976323113,0.0024601200235004,0.0003669329368634,0.0087226894768801,1.24022269367494e-05,0.0359081833715509,0.0011848264320797,0.0385071500942757,0.0165090963868267,0.626031464064937,0.0004625365998882,0.0005775141489145,0.0038576418281376,0.0018260176207224,3.00485788929192e-05,0.0020735378709856,0.0121149536131559,0.0027404545636419,0.0368577090176669,0.0896626472473144,0.0,0.0138241665075358,0.0758673419255332,2.90537591684948e-05,440,25.4630307777279,24.0049068153947,82.7695526217005,456,23.6690810908128,9.00227272727273,796.088636363636,Stanford_TA551_R10C4
565357,0.017103389395934,105.718332350629,0.181025741461483,0.349959327630091,0.0222846036364834,0.0003137491533463,0.0018099127063853,0.0209732592077049,0.0,0.130975246086203,0.0030072319431076,0.0164565585527309,0.0,0.313091475751523,0.0003360212587191,0.001793400555778,0.0,0.012233555691797,2.84494221343735e-07,0.0518767795597933,0.0052942403618209,0.0133748380530198,0.0441939476022327,0.459390290228001,0.0003635793623549,0.0252258369270613,0.0040427053268011,0.0009003340736049,8.41300217024748e-06,0.0054506703450919,0.0081228223057621,0.0135060279024079,0.0584156288290923,0.116903580959488,0.0,0.14041471903444,0.0346244529701463,0.0,318,24.2437995391233,16.824788699645,67.1126983722081,333,20.1218829940386,11.2578616352201,841.996855345912,Stanford_TA551_R10C4
565358,0.0609963493584954,9.35187966802603,0.314808634258508,0.216946900109679,0.0533022113647801,0.0045395389526846,0.103702254657931,0.0276491931785989,0.122282493116018,0.228580455484303,0.0145410110730078,0.135501836403814,0.0007320317439708,0.0688472829886112,0.0198120290962802,0.0862938173792653,0.0914548713368873,0.0089966572624497,6.36532760697726e-05,0.0205710209098556,0.011075071062895,0.067781227000652,0.0922247363722207,0.167621044268361,0.079787738308331,0.150872102258066,0.0470039535931378,0.0846955861342024,2.44307460104965e-05,0.0085881612488472,0.201946692448557,0.0761727276593826,0.0037734655341095,0.0268205407777489,0.058050050131498,0.400492030255851,0.332471028801939,2.59254750443344e-05,341,29.150904373629,15.3109936598003,73.9411254969543,370,20.8368588024849,14.425219941349,198.029325513196,Stanford_TA551_R10C4
565359,0.0132901206582814,4.64933013916016,0.0914369417662948,0.119147270057378,0.0093978360371976,0.0233395978354604,0.0611378918534354,0.0325570396524488,0.0207239751373033,0.0164399499758223,0.0098258236642786,0.278334521748183,0.0023544186149836,0.0847283376303699,0.0,0.0305517894953007,0.0372613180950854,0.0085059053757611,6.41546349095948e-05,0.0386736665268732,0.0083475637019872,0.14782773154432,0.109551859998575,0.462130922067561,0.0539211004699517,0.0369659605653852,0.0147480303031701,0.0279535356964748,3.554903806242e-05,0.0072781259587576,0.0968541646072788,0.021813915709192,0.0078628492705962,0.0504317248568815,0.0083147252374208,0.0466208926651868,0.116845405998127,1.11248099368394e-05,272,23.547559052288,14.7624619473925,62.2842712474619,286,18.6097059667251,12.9926470588235,527.602941176471,Stanford_TA551_R10C4
